service_id,date,exception_type
30,20190902,1
2,20190902,2
30,20191014,1
2,20191014,2
3602,20190903,1
3602,20190904,1
3602,20190905,1
3602,20190906,1
3602,20190909,1
3602,20190910,1
3602,20190911,1
3602,20190912,1
3602,20190913,1
3602,20190916,1
3602,20190917,1
3602,20190918,1
3602,20190919,1
3602,20190920,1
3602,20190923,1
3602,20190924,1
3602,20190925,1
3602,20190926,1
3602,20190927,1
3602,20190930,1
3602,20191001,1
3602,20191002,1
3602,20191003,1
3602,20191004,1
3602,20191007,1
3602,20191008,1
3602,20191009,1
3602,20191010,1
3602,20191011,1
3602,20191015,1
3602,20191016,1
3602,20191017,1
3602,20191018,1
3602,20191021,1
3602,20191022,1
3602,20191023,1
3602,20191024,1
3602,20191025,1
3602,20191028,1
3602,20191029,1
3602,20191030,1
3602,20191031,1
3602,20191101,1
3602,20191111,1
3602,20191112,1
3602,20191113,1
3602,20191114,1
3602,20191115,1
3602,20191118,1
3602,20191119,1
3602,20191120,1
3602,20191121,1
3602,20191122,1
3302,20190903,1
3302,20190904,1
3302,20190905,1
3302,20190906,1
3302,20190909,1
3302,20190910,1
3302,20190911,1
3302,20190912,1
3302,20190913,1
3302,20190916,1
3302,20190917,1
3302,20190918,1
3302,20190919,1
3302,20190920,1
3302,20190923,1
3302,20190924,1
3302,20190925,1
3302,20190926,1
3302,20190927,1
3302,20190930,1
3302,20191001,1
3302,20191002,1
3302,20191003,1
3302,20191004,1
3302,20191007,1
3302,20191008,1
3302,20191009,1
3302,20191010,1
3302,20191011,1
3302,20191015,1
3302,20191016,1
3302,20191017,1
3302,20191018,1
3302,20191021,1
3302,20191022,1
3302,20191023,1
3302,20191024,1
3302,20191025,1
3302,20191028,1
3302,20191029,1
3302,20191030,1
3302,20191031,1
3302,20191101,1
3302,20191104,1
3302,20191105,1
3302,20191106,1
3302,20191107,1
3302,20191108,1
3302,20191111,1
3302,20191112,1
3302,20191113,1
3302,20191114,1
3302,20191115,1
3302,20191118,1
3302,20191119,1
3302,20191120,1
3302,20191121,1
3302,20191122,1
3303,20190907,1
3303,20190914,1
3303,20190921,1
3303,20190928,1
3303,20191005,1
3303,20191012,1
3303,20191019,1
3303,20191026,1
3303,20191102,1
3303,20191109,1
3303,20191116,1
3303,20191123,1
